#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NZ_CP022699.1	647	2065	-	-	-	CIW82_RS00010	WP_097802512.1	472	IS4 family transposase
chr	NZ_CP022699.1	2606	3064	-	-	-	CIW82_RS00015	WP_086898371.1	152	MULTISPECIES: MerR family transcriptional regulator
chr	NZ_CP022699.1	3138	5276	+	-	-	CIW82_RS00020	WP_086898370.1	712	MULTISPECIES: cadmium-translocating P-type ATPase
chr	NZ_CP022699.1	5292	5597	+	-	-	CIW82_RS00025	WP_086898369.1	101	MULTISPECIES: hypothetical protein
chr	NZ_CP022699.1	5747	6550	-	-	-	CIW82_RS00030	WP_086898368.1	267	MULTISPECIES: transporter
chr	NZ_CP022699.1	6901	8274	-	-	-	CIW82_RS00035	WP_086898373.1	457	MULTISPECIES: divalent metal cation transporter
chr	NZ_CP022699.1	8439	8951	+	-	-	CIW82_RS00040	WP_086898367.1	170	MULTISPECIES: manganese-binding transcriptional regulator MntR
chr	NZ_CP022699.1	9681	9935	+	-	-	CIW82_RS00050	WP_086898846.1	84	MULTISPECIES: hypothetical protein
chr	NZ_CP022699.1	10311	10856	+	-	-	CIW82_RS00055	WP_086898845.1	181	MULTISPECIES: hypothetical protein
chr	NZ_CP022699.1	11050	11823	+	-	-	CIW82_RS00060	WP_086898844.1	257	MULTISPECIES: hypothetical protein
chr	NZ_CP022699.1	11820	12461	+	-	-	CIW82_RS00065	WP_086898843.1	213	MULTISPECIES: hypothetical protein
chr	NZ_CP022699.1	12880	12996	+	-	-	CIW82_RS00070	WP_086898842.1	38	MULTISPECIES: helix-turn-helix transcriptional regulator
chr	NZ_CP022699.1	13283	14406	-	-	-	CIW82_RS00075	WP_097802310.1	374	MULTISPECIES: IS3 family transposase
chr	NZ_CP022699.1	14546	15760	-	-	-	CIW82_RS00080	WP_086898772.1	404	MULTISPECIES: IS256 family transposase
chr	NZ_CP022699.1	16060	16311	-	-	-	CIW82_RS00085	WP_086897835.1	83	MULTISPECIES: hypothetical protein
chr	NZ_CP022699.1	16837	18036	+	-	-	CIW82_RS00090	WP_086897834.1	399	MULTISPECIES: MFS transporter
chr	NZ_CP022699.1	18042	18938	-	-	-	CIW82_RS00095	WP_086897833.1	298	MULTISPECIES: LysR family transcriptional regulator
chr	NZ_CP022699.1	19074	20030	+	-	-	CIW82_RS00100	WP_086897832.1	318	MULTISPECIES: N-carbamoyl-D-amino-acid hydrolase
chr	NZ_CP022699.1	20027	20830	+	-	-	CIW82_RS00105	WP_086897831.1	267	MULTISPECIES: ABC transporter substrate-binding protein
chr	NZ_CP022699.1	20827	21678	+	-	-	CIW82_RS00110	WP_035381595.1	283	MULTISPECIES: amino acid ABC transporter permease
chr	NZ_CP022699.1	21678	22484	+	-	-	CIW82_RS00115	WP_086897830.1	268	MULTISPECIES: amino acid ABC transporter ATP-binding protein
chr	NZ_CP022699.1	22481	23368	+	-	-	CIW82_RS00120	WP_086897829.1	295	MULTISPECIES: polysaccharide deacetylase
chr	NZ_CP022699.1	23365	24822	+	-	-	CIW82_RS00125	WP_086897828.1	485	MULTISPECIES: N-ethylammeline chlorohydrolase
chr	NZ_CP022699.1	24822	25661	+	-	-	CIW82_RS00130	WP_086897827.1	279	MULTISPECIES: ABC transporter substrate-binding protein
chr	NZ_CP022699.1	25651	26304	+	-	-	CIW82_RS00135	WP_086897826.1	217	MULTISPECIES: hypothetical protein
chr	NZ_CP022699.1	26293	27609	-	-	-	CIW82_RS00140	WP_086897825.1	438	MULTISPECIES: dihydroorotase
chr	NZ_CP022699.1	27817	28698	+	-	-	CIW82_RS00145	WP_086897824.1	293	MULTISPECIES: D-amino-acid transaminase
chr	NZ_CP022699.1	28732	29082	+	-	-	CIW82_RS00150	WP_086897823.1	116	MULTISPECIES: RidA family protein
chr	NZ_CP022699.1	29132	30028	+	-	-	CIW82_RS00155	WP_086897822.1	298	MULTISPECIES: delta(1)-pyrroline-2-carboxylate reductase family protein
chr	NZ_CP022699.1	30077	32524	-	-	-	CIW82_RS00160	WP_086897821.1	815	MULTISPECIES: TonB-dependent receptor
chr	NZ_CP022699.1	32816	34201	+	-	-	CIW82_RS00165	WP_086897820.1	461	MULTISPECIES: FAD-binding oxidoreductase
chr	NZ_CP022699.1	34382	36781	+	-	-	CIW82_RS00170	WP_086897819.1	799	MULTISPECIES: hypothetical protein
chr	NZ_CP022699.1	36856	37131	-	-	-	CIW82_RS00175	WP_097802311.1	91	hypothetical protein
chr	NZ_CP022699.1	38048	39256	-	-	-	CIW82_RS00190	WP_086898660.1	402	MULTISPECIES: IS30 family transposase
chr	NZ_CP022699.1	40006	40275	-	-	-	CIW82_RS00200	WP_097802312.1	89	helix-turn-helix domain-containing protein
