#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NZ_CP015168.1	56	769	+	-	-	A4R89_RS00005	WP_070324357.1	237	GntR family transcriptional regulator
chr	NZ_CP015168.1	803	1069	-	-	-	A4R89_RS15820	WP_082246784.1	88	hypothetical protein
chr	NZ_CP015168.1	961	2166	-	-	-	A4R89_RS00010	WP_070324358.1	401	IS701 family transposase
chr	NZ_CP015168.1	2293	6018	+	-	putA	A4R89_RS00015	WP_082246961.1	1241	bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA
chr	NZ_CP015168.1	6224	6907	+	-	-	A4R89_RS00020	WP_070324360.1	227	DUF1275 domain-containing protein
chr	NZ_CP015168.1	6937	8307	-	-	-	A4R89_RS00025	WP_070322740.1	456	amino acid permease
chr	NZ_CP015168.1	8377	9972	-	-	-	A4R89_RS00030	WP_070324361.1	531	hypothetical protein
chr	NZ_CP015168.1	11634	11906	-	-	-	A4R89_RS00040	WP_019089764.1	90	MULTISPECIES: hypothetical protein
chr	NZ_CP015168.1	12204	13589	-	-	-	A4R89_RS00045	WP_070324405.1	461	IS1380 family transposase
chr	NZ_CP015168.1	14159	14725	-	-	-	A4R89_RS00050	WP_070325309.1	188	recombinase family protein
chr	NZ_CP015168.1	15605	16348	+	-	-	A4R89_RS00055	WP_070324363.1	247	hypothetical protein
chr	NZ_CP015168.1	16429	16650	-	-	-	A4R89_RS00060	WP_070324364.1	73	hypothetical protein
chr	NZ_CP015168.1	16926	17513	-	-	-	A4R89_RS00065	WP_070324365.1	195	hypothetical protein
chr	NZ_CP015168.1	18320	19336	-	-	-	A4R89_RS00075	WP_070324366.1	338	hypothetical protein
chr	NZ_CP015168.1	19557	20948	-	-	-	A4R89_RS00085	WP_070324367.1	463	DNA repair protein RadA
chr	NZ_CP015168.1	21033	22064	-	-	-	A4R89_RS00090	WP_070324136.1	343	hypothetical protein
chr	NZ_CP015168.1	22271	23056	+	-	-	A4R89_RS00095	WP_070324368.1	261	ABC transporter permease
chr	NZ_CP015168.1	23053	23841	+	-	-	A4R89_RS00100	WP_082246720.1	262	ATP-binding cassette domain-containing protein
chr	NZ_CP015168.1	24310	26727	+	-	-	A4R89_RS00105	WP_070324369.1	805	DUF3772 domain-containing protein
chr	NZ_CP015168.1	26791	27579	-	-	-	A4R89_RS00110	WP_070324370.1	262	NERD domain-containing protein
chr	NZ_CP015168.1	27759	29261	-	-	-	A4R89_RS00115	WP_070324134.1	500	replicative DNA helicase
chr	NZ_CP015168.1	29334	30518	-	-	-	A4R89_RS00120	WP_070322732.1	394	mannose-6-phosphate isomerase
chr	NZ_CP015168.1	30515	31948	-	-	-	A4R89_RS00125	WP_070322731.1	477	D-glycero-beta-D-manno-heptose-7-phosphate kinase
chr	NZ_CP015168.1	31954	32607	-	-	-	A4R89_RS00130	WP_019089773.1	217	MULTISPECIES: guanylate kinase
chr	NZ_CP015168.1	32581	33525	+	-	-	A4R89_RS00135	WP_082246962.1	314	SDR family NAD(P)-dependent oxidoreductase
chr	NZ_CP015168.1	33577	34929	+	-	-	A4R89_RS00140	WP_070324371.1	450	hypothetical protein
chr	NZ_CP015168.1	34863	35705	-	-	-	A4R89_RS00145	WP_026019451.1	280	MULTISPECIES: 23S rRNA (guanosine(2251)-2\'-O)-methyltransferase RlmB
chr	NZ_CP015168.1	35910	36563	+	-	-	A4R89_RS00150	WP_070324372.1	217	ribonuclease D
chr	NZ_CP015168.1	36610	37623	+	-	-	A4R89_RS00155	WP_070324373.1	337	KpsF/GutQ family sugar-phosphate isomerase
chr	NZ_CP015168.1	37620	38357	+	-	-	A4R89_RS00160	WP_070324374.1	245	LPS export ABC transporter periplasmic protein LptC
chr	NZ_CP015168.1	38359	39465	+	-	-	A4R89_RS00165	WP_070322726.1	368	hypothetical protein
chr	NZ_CP015168.1	39546	40289	+	-	-	A4R89_RS00170	WP_044583075.1	247	MULTISPECIES: LPS export ABC transporter ATP-binding protein
chr	NZ_CP015168.1	40286	41134	-	-	-	A4R89_RS00175	WP_070324375.1	282	MOSC domain-containing protein
chr	NZ_CP015168.1	41169	41471	-	-	-	A4R89_RS00180	WP_070324376.1	100	hypothetical protein
chr	NZ_CP015168.1	41819	42439	+	-	-	A4R89_RS00185	WP_019089784.1	206	MULTISPECIES: ribosome-associated translation inhibitor RaiA
chr	NZ_CP015168.1	42529	42795	-	-	-	A4R89_RS00190	WP_070324377.1	88	hypothetical protein
chr	NZ_CP015168.1	42814	43323	-	-	-	A4R89_RS00195	WP_019089785.1	169	MULTISPECIES: Hsp20 family protein
chr	NZ_CP015168.1	43299	43493	+	-	-	A4R89_RS15835	WP_082246963.1	64	hypothetical protein
chr	NZ_CP015168.1	43562	44122	+	-	-	A4R89_RS00200	WP_070325311.1	186	peptide deformylase
