#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NC_017150.1	388	813	-	-	-	APA42C_RS00010	WP_012812257.1	141	RusA family crossover junction endodeoxyribonuclease
chr	NC_017150.1	1206	2420	-	-	-	APA42C_RS00015	WP_012812258.1	404	DUF4102 domain-containing protein
chr	NC_017150.1	2681	3160	-	-	-	APA42C_RS00020	WP_012812259.1	159	YaiI/YqxD family protein
chr	NC_017150.1	3400	3927	+	-	-	APA42C_RS00025	WP_012812260.1	175	periplasmic heavy metal sensor
chr	NC_017150.1	4064	5311	+	-	-	APA42C_RS00030	WP_012812261.1	415	multidrug effflux MFS transporter
chr	NC_017150.1	5336	5722	-	-	-	APA42C_RS00035	WP_003623254.1	128	hypothetical protein
chr	NC_017150.1	5753	5938	-	-	-	APA42C_RS00040	WP_003623252.1	61	MULTISPECIES: Trm112 family protein
chr	NC_017150.1	5965	6669	-	-	-	APA42C_RS00045	WP_003623250.1	234	peptidase
chr	NC_017150.1	6684	7643	-	-	-	APA42C_RS00050	WP_003623248.1	319	co-chaperone YbbN
chr	NC_017150.1	7882	10746	+	-	-	APA42C_RS00055	WP_012812262.1	954	excinuclease ABC subunit UvrA
chr	NC_017150.1	10746	11585	+	-	-	APA42C_RS00060	WP_003623241.1	279	creatininase family protein
chr	NC_017150.1	11693	12991	+	-	-	APA42C_RS00065	WP_012812263.1	432	YncE family protein
chr	NC_017150.1	13071	14306	+	-	-	APA42C_RS00070	WP_012812264.1	411	DUF2075 domain-containing protein
chr	NC_017150.1	14534	15094	+	-	-	APA42C_RS00075	WP_003623238.1	186	NifU family protein
chr	NC_017150.1	15161	15790	+	-	-	APA42C_RS00080	WP_012812265.1	209	malonic semialdehyde reductase
chr	NC_017150.1	15787	16479	+	-	-	APA42C_RS00085	WP_003623236.1	230	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
chr	NC_017150.1	16476	16934	+	-	-	APA42C_RS00090	WP_003623235.1	152	ribosomal-protein-alanine N-acetyltransferase
chr	NC_017150.1	16983	18266	-	-	-	APA42C_RS00095	WP_003623234.1	427	phosphoribosylamine--glycine ligase
chr	NC_017150.1	18318	19772	+	-	-	APA42C_RS00100	WP_003623233.1	484	exodeoxyribonuclease VII large subunit
chr	NC_017150.1	19871	20212	+	-	-	APA42C_RS00105	WP_003623232.1	113	MULTISPECIES: hypothetical protein
chr	NC_017150.1	20386	21561	+	-	-	APA42C_RS00115	WP_003623231.1	391	phosphoserine transaminase
chr	NC_017150.1	21645	23036	-	-	-	APA42C_RS00120	WP_003624944.1	463	NAD-dependent succinate-semialdehyde dehydrogenase
chr	NC_017150.1	23076	24104	-	-	-	APA42C_RS00125	WP_012812267.1	342	alcohol dehydrogenase AdhP
