#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NZ_CP023657.1	333	1220	-	-	-	CPF11_RS00005	WP_014106237.1	295	MULTISPECIES: LysR family transcriptional regulator
chr	NZ_CP023657.1	1416	2525	+	-	-	CPF11_RS00010	WP_014106238.1	369	MULTISPECIES: NADH:flavin oxidoreductase/NADH oxidase
chr	NZ_CP023657.1	2719	3375	+	-	-	CPF11_RS00015	WP_052051561.1	218	MULTISPECIES: alpha-ketoglutarate-dependent dioxygenase AlkB
chr	NZ_CP023657.1	3425	4321	+	-	-	CPF11_RS00020	WP_014106240.1	298	MULTISPECIES: NAD-dependent epimerase/dehydratase family protein
chr	NZ_CP023657.1	4547	4966	-	-	-	CPF11_RS00025	WP_052051562.1	139	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	5146	5370	+	-	-	CPF11_RS00030	WP_010511771.1	74	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	5371	5781	+	-	-	CPF11_RS00035	WP_014106242.1	136	MULTISPECIES: tRNA(fMet)-specific endonuclease VapC
chr	NZ_CP023657.1	6444	6614	-	-	-	CPF11_RS00040	WP_075624995.1	56	MULTISPECIES: metallothionein
chr	NZ_CP023657.1	6611	6934	-	-	-	CPF11_RS00045	WP_081385187.1	107	MULTISPECIES: ArsR family transcriptional regulator
chr	NZ_CP023657.1	7062	8795	-	-	-	CPF11_RS00050	WP_006115577.1	577	MULTISPECIES: ABC transporter ATP-binding protein/permease
chr	NZ_CP023657.1	8792	10714	-	-	-	CPF11_RS00055	WP_006115576.1	640	MULTISPECIES: threonine--tRNA ligase
chr	NZ_CP023657.1	10711	11217	-	-	-	CPF11_RS00060	WP_006115575.1	168	MULTISPECIES: transcriptional repressor
chr	NZ_CP023657.1	11214	11978	-	-	-	CPF11_RS00065	WP_081461413.1	254	MULTISPECIES: DUF1826 domain-containing protein
chr	NZ_CP023657.1	12026	12637	+	-	folE	CPF11_RS00070	WP_035352219.1	203	MULTISPECIES: GTP cyclohydrolase I FolE
chr	NZ_CP023657.1	12634	13143	+	-	-	CPF11_RS00075	WP_006115573.1	169	MULTISPECIES: phosphoribosyl-AMP cyclohydrolase
chr	NZ_CP023657.1	13157	14386	+	-	-	CPF11_RS00080	WP_039891580.1	409	MULTISPECIES: GTP-binding protein
chr	NZ_CP023657.1	15094	16304	-	-	-	CPF11_RS00090	WP_096884248.1	403	MULTISPECIES: IS3 family transposase
chr	NZ_CP023657.1	16331	16798	+	-	-	CPF11_RS00095	WP_096884249.1	155	DUF2285 domain-containing protein
chr	NZ_CP023657.1	17020	17271	+	-	-	CPF11_RS00100	WP_081937153.1	83	DNA-binding protein
chr	NZ_CP023657.1	17284	18366	+	-	-	CPF11_RS00105	WP_081937154.1	360	replication protein A
chr	NZ_CP023657.1	18363	18860	+	-	-	CPF11_RS00110	WP_081937155.1	165	DUF2840 domain-containing protein
chr	NZ_CP023657.1	18857	19414	+	-	-	CPF11_RS00115	WP_035352088.1	185	S26 family signal peptidase
chr	NZ_CP023657.1	19416	19754	+	-	-	CPF11_RS00120	WP_035352047.1	112	DUF736 domain-containing protein
chr	NZ_CP023657.1	19759	20475	+	-	-	CPF11_RS00125	WP_035352051.1	238	lytic transglycosylase domain-containing protein
chr	NZ_CP023657.1	20758	22497	+	-	-	CPF11_RS00130	WP_035352090.1	579	DUF3363 domain-containing protein
chr	NZ_CP023657.1	22529	23266	-	-	-	CPF11_RS00135	WP_052055147.1	245	siderophore-interacting protein
chr	NZ_CP023657.1	23277	23972	-	-	-	CPF11_RS00140	WP_035352057.1	231	methyltransferase
chr	NZ_CP023657.1	24066	24872	+	-	-	CPF11_RS00145	WP_035352060.1	268	AraC family transcriptional regulator
chr	NZ_CP023657.1	24869	25297	-	-	-	CPF11_RS00150	WP_035352062.1	142	type II toxin-antitoxin system VapC family toxin
chr	NZ_CP023657.1	25297	25551	-	-	-	CPF11_RS00155	WP_035352064.1	84	MULTISPECIES: type II toxin-antitoxin system Phd/YefM family antitoxin
chr	NZ_CP023657.1	25736	26563	+	-	-	CPF11_RS00160	WP_052055148.1	275	hypothetical protein
chr	NZ_CP023657.1	26660	26866	-	-	-	CPF11_RS00165	WP_035352068.1	68	hypothetical protein
chr	NZ_CP023657.1	27007	29007	+	-	-	CPF11_RS00170	WP_035352092.1	666	conjugal transfer protein TraG
chr	NZ_CP023657.1	29015	29461	+	-	-	CPF11_RS00175	WP_096884306.1	148	ribbon-helix-helix protein, CopG family
chr	NZ_CP023657.1	29608	30612	+	-	trbB	CPF11_RS00180	WP_081937156.1	334	P-type conjugative transfer ATPase TrbB
chr	NZ_CP023657.1	30669	30977	+	-	-	CPF11_RS00185	WP_052055152.1	102	conjugal transfer protein TrbC
chr	NZ_CP023657.1	30977	31255	+	-	-	CPF11_RS00190	WP_035352073.1	92	conjugal transfer protein
chr	NZ_CP023657.1	31267	33708	+	-	-	CPF11_RS00195	WP_035352076.1	813	conjugal transfer protein TrbE
chr	NZ_CP023657.1	33705	34442	+	-	trbJ	CPF11_RS00200	WP_035352079.1	245	P-type conjugative transfer protein TrbJ
chr	NZ_CP023657.1	34448	35872	+	-	trbL	CPF11_RS00205	WP_035352082.1	474	P-type conjugative transfer protein TrbL
chr	NZ_CP023657.1	35872	36555	+	-	-	CPF11_RS00210	WP_035352098.1	227	conjugal transfer protein TrbF
chr	NZ_CP023657.1	36552	37553	+	-	trbG	CPF11_RS00215	WP_096884250.1	333	P-type conjugative transfer protein TrbG
chr	NZ_CP023657.1	37550	38728	+	-	-	CPF11_RS00220	WP_035352123.1	392	TrbI/VirB10 family protein
chr	NZ_CP023657.1	38725	38982	+	-	-	CPF11_RS00225	WP_035352121.1	85	MULTISPECIES: DUF2274 domain-containing protein
chr	NZ_CP023657.1	38948	39874	-	-	-	CPF11_RS00230	WP_035352119.1	308	LysR family transcriptional regulator
chr	NZ_CP023657.1	40145	40651	+	-	-	CPF11_RS00235	WP_035352117.1	168	sigma-70 family RNA polymerase sigma factor
chr	NZ_CP023657.1	40761	41762	+	-	-	CPF11_RS00240	WP_052055158.1	333	DUF4880 domain-containing protein
chr	NZ_CP023657.1	41974	44490	+	-	-	CPF11_RS00245	WP_081937158.1	838	TonB-dependent siderophore receptor
chr	NZ_CP023657.1	45040	46287	+	-	-	CPF11_RS00250	WP_035352115.1	415	PepSY domain-containing protein
chr	NZ_CP023657.1	46284	46535	+	-	-	CPF11_RS00255	WP_035352113.1	83	hypothetical protein
chr	NZ_CP023657.1	46532	47278	+	-	exbB	CPF11_RS00260	WP_035352111.1	248	tonB-system energizer ExbB
chr	NZ_CP023657.1	47285	47773	+	-	exbD	CPF11_RS00265	WP_035352109.1	162	TonB system transport protein ExbD
chr	NZ_CP023657.1	47788	48642	+	-	-	CPF11_RS00270	WP_035352107.1	284	TonB family protein
chr	NZ_CP023657.1	48699	49199	+	-	-	CPF11_RS00275	WP_006115429.1	166	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	49311	52550	+	-	-	CPF11_RS00280	WP_006115428.1	1079	MULTISPECIES: multidrug transporter
chr	NZ_CP023657.1	52711	52926	+	-	-	CPF11_RS00285	WP_035353453.1	71	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	52919	54067	+	-	-	CPF11_RS00290	WP_035353456.1	382	MULTISPECIES: DNA cytosine methyltransferase
chr	NZ_CP023657.1	54064	54927	+	-	-	CPF11_RS00295	WP_035353460.1	287	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	54924	55856	+	-	-	CPF11_RS00300	WP_006115426.1	310	MULTISPECIES: DUF4928 domain-containing protein
chr	NZ_CP023657.1	55853	56254	+	-	-	CPF11_RS00305	WP_035353463.1	133	MULTISPECIES: DNA mismatch endonuclease Vsr
chr	NZ_CP023657.1	56499	57677	-	-	-	CPF11_RS00310	WP_035353466.1	392	MULTISPECIES: DUF4102 domain-containing protein
chr	NZ_CP023657.1	58167	59537	-	-	-	CPF11_RS00315	WP_006115424.1	456	MULTISPECIES: PLP-dependent aminotransferase family protein
chr	NZ_CP023657.1	60320	61530	-	-	-	CPF11_RS00325	WP_096884248.1	403	MULTISPECIES: IS3 family transposase
chr	NZ_CP023657.1	61917	62375	+	-	-	CPF11_RS00335	WP_006115422.1	152	MULTISPECIES: YbaK/EbsC family protein
chr	NZ_CP023657.1	62362	62721	+	-	-	CPF11_RS00340	WP_050793091.1	119	MULTISPECIES: EamA family transporter
chr	NZ_CP023657.1	62961	64061	-	-	-	CPF11_RS00345	WP_006115420.1	366	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	64058	64852	-	-	-	CPF11_RS00350	WP_006115419.1	264	MULTISPECIES: XRE family transcriptional regulator
chr	NZ_CP023657.1	65028	65312	+	-	-	CPF11_RS00355	WP_081461406.1	94	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	65309	66127	+	-	-	CPF11_RS00360	WP_006115417.1	272	MULTISPECIES: ParB Domain Protein Nuclease
chr	NZ_CP023657.1	66124	66396	+	-	-	CPF11_RS00365	WP_006115416.1	90	MULTISPECIES: helix-turn-helix domain-containing protein
chr	NZ_CP023657.1	66393	66845	+	-	-	CPF11_RS00370	WP_006115415.1	150	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	66845	68830	+	-	-	CPF11_RS00375	WP_006115414.1	661	MULTISPECIES: transposase
chr	NZ_CP023657.1	68874	69833	+	-	-	CPF11_RS00380	WP_035353473.1	319	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	69838	70119	+	-	-	CPF11_RS00385	WP_035353476.1	93	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	70119	70361	+	-	-	CPF11_RS00390	WP_035353479.1	80	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	70349	70681	+	-	-	CPF11_RS00395	WP_035353482.1	110	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	70693	71316	+	-	-	CPF11_RS00400	WP_096884251.1	207	DUF3164 family protein
chr	NZ_CP023657.1	71328	71747	+	-	-	CPF11_RS00405	WP_006115411.1	139	MULTISPECIES: regulatory protein GemA
chr	NZ_CP023657.1	71740	72438	+	-	-	CPF11_RS00410	WP_006115410.1	232	MULTISPECIES: DUF2786 domain-containing protein
chr	NZ_CP023657.1	72435	72743	+	-	-	CPF11_RS00415	WP_035353485.1	102	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	72920	73297	+	-	-	CPF11_RS00420	WP_050793088.1	125	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	73358	74077	+	-	-	CPF11_RS00425	WP_035353488.1	239	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	74150	74584	+	-	-	CPF11_RS00430	WP_035353490.1	144	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	74587	74889	+	-	-	CPF11_RS00435	WP_035353493.1	100	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	75047	75340	+	-	-	CPF11_RS00440	WP_035353495.1	97	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	75343	75936	+	-	-	CPF11_RS00445	WP_006115547.1	197	MULTISPECIES: DUF3486 family protein
chr	NZ_CP023657.1	75974	77494	+	-	-	CPF11_RS00450	WP_006115544.1	506	hypothetical protein
chr	NZ_CP023657.1	77491	77733	+	-	-	CPF11_RS00455	WP_035353499.1	80	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	77733	77978	+	-	-	CPF11_RS00460	WP_035353501.1	81	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	77956	79695	+	-	-	CPF11_RS00465	WP_006115543.1	579	DUF935 family protein
chr	NZ_CP023657.1	79658	80893	+	-	-	CPF11_RS00470	WP_006115542.1	411	hypothetical protein
chr	NZ_CP023657.1	81023	81541	+	-	-	CPF11_RS00475	WP_006115541.1	172	MULTISPECIES: virion morphogenesis protein
chr	NZ_CP023657.1	81761	82753	+	-	-	CPF11_RS00480	WP_006115540.1	330	MULTISPECIES: hypothetical protein
chr	NZ_CP023657.1	82740	83186	+	-	-	CPF11_RS00485	WP_035353507.1	148	MULTISPECIES: hypothetical protein
