#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NZ_AP018515.1	3234	6410	-	-	-	AcetOrient_RS00010	WP_048842075.1	1058	multidrug transporter
chr	NZ_AP018515.1	6407	7690	-	-	mdtA	AcetOrient_RS00015	WP_048842076.1	427	MdtA/MuxA family multidrug efflux RND transporter periplasmic adaptor subunit
chr	NZ_AP018515.1	7968	9362	-	-	-	AcetOrient_RS00020	WP_126621507.1	464	MFS transporter
chr	NZ_AP018515.1	9474	9779	+	-	-	AcetOrient_RS00025	WP_048842077.1	101	CsbD family protein
chr	NZ_AP018515.1	9904	10533	+	-	-	AcetOrient_RS00030	WP_048842078.1	209	ribonuclease HII
chr	NZ_AP018515.1	10530	11663	+	-	-	AcetOrient_RS00035	WP_048842079.1	377	site-specific DNA-methyltransferase
chr	NZ_AP018515.1	11738	12334	-	-	-	AcetOrient_RS00040	WP_052946433.1	198	hypothetical protein
chr	NZ_AP018515.1	14592	17489	-	-	-	AcetOrient_RS00050	WP_048842081.1	965	DUF4159 domain-containing protein
chr	NZ_AP018515.1	17486	17788	-	-	-	AcetOrient_RS00055	WP_126621009.1	100	hypothetical protein
chr	NZ_AP018515.1	17701	18540	-	-	-	AcetOrient_RS00060	WP_126621010.1	279	DUF58 domain-containing protein
chr	NZ_AP018515.1	18546	19568	-	-	-	AcetOrient_RS00065	WP_048842082.1	340	MoxR family ATPase
chr	NZ_AP018515.1	20268	21503	+	-	-	AcetOrient_RS00075	WP_084594515.1	411	CCA tRNA nucleotidyltransferase
chr	NZ_AP018515.1	23645	24808	+	-	-	AcetOrient_RS00085	WP_048842084.1	387	HlyD family secretion protein
chr	NZ_AP018515.1	24805	26382	+	-	-	AcetOrient_RS00090	WP_048842085.1	525	DHA2 family efflux MFS transporter permease subunit
chr	NZ_AP018515.1	26550	27050	-	-	-	AcetOrient_RS00095	WP_048840719.1	166	RNA pyrophosphohydrolase
chr	NZ_AP018515.1	27128	28246	-	-	-	AcetOrient_RS00100	WP_048840717.1	372	divergent polysaccharide deacetylase family protein
chr	NZ_AP018515.1	28271	29713	-	-	-	AcetOrient_RS00105	WP_048840716.1	480	S41 family peptidase
chr	NZ_AP018515.1	29887	31464	-	-	-	AcetOrient_RS00110	WP_048840715.1	525	peptidase
chr	NZ_AP018515.1	31465	32964	-	-	-	AcetOrient_RS00115	WP_126621508.1	499	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
chr	NZ_AP018515.1	34964	35554	-	-	-	AcetOrient_RS00125	WP_048840712.1	196	CarD family transcriptional regulator
chr	NZ_AP018515.1	35636	36511	-	-	-	AcetOrient_RS00130	WP_048840711.1	291	hypothetical protein
chr	NZ_AP018515.1	37717	38331	-	-	-	AcetOrient_RS00140	WP_126621011.1	204	YdcF family protein
chr	NZ_AP018515.1	38328	39287	-	-	-	AcetOrient_RS00145	WP_048840709.1	319	ABC transporter permease
chr	NZ_AP018515.1	39290	39961	-	-	-	AcetOrient_RS00150	WP_048840708.1	223	ATP-binding cassette domain-containing protein
chr	NZ_AP018515.1	41510	41737	-	-	-	AcetOrient_RS00160	WP_126621012.1	75	adenine methyltransferase
chr	NZ_AP018515.1	41979	42389	-	-	-	AcetOrient_RS00165	WP_048841609.1	136	hypothetical protein
chr	NZ_AP018515.1	42766	44583	+	-	-	AcetOrient_RS00170	WP_086552407.1	605	response regulator
chr	NZ_AP018515.1	44567	46573	+	-	-	AcetOrient_RS00175	WP_048841611.1	668	response regulator
chr	NZ_AP018515.1	46620	47213	+	-	hslV	AcetOrient_RS00180	WP_048841612.1	197	ATP-dependent protease subunit HslV
chr	NZ_AP018515.1	47228	48541	+	-	hslU	AcetOrient_RS00185	WP_048841613.1	437	ATP-dependent protease ATPase subunit HslU
chr	NZ_AP018515.1	48541	48984	+	-	-	AcetOrient_RS00190	WP_048841614.1	147	SufE family protein
chr	NZ_AP018515.1	49470	51794	-	-	-	AcetOrient_RS00195	WP_048841615.1	774	xanthine dehydrogenase family protein molybdopterin-binding subunit
chr	NZ_AP018515.1	51787	52263	-	-	-	AcetOrient_RS00200	WP_048841616.1	158	(2Fe-2S)-binding protein
chr	NZ_AP018515.1	52284	53612	-	-	-	AcetOrient_RS00205	WP_048841617.1	442	cytochrome c
chr	NZ_AP018515.1	54730	55911	-	-	-	AcetOrient_RS00210	WP_084594475.1	393	glycosyltransferase family 2 protein
chr	NZ_AP018515.1	56891	57916	-	-	-	AcetOrient_RS00215	WP_126621013.1	341	hypothetical protein
chr	NZ_AP018515.1	58142	59614	-	-	-	AcetOrient_RS00220	WP_048841811.1	490	mannitol dehydrogenase family protein
chr	NZ_AP018515.1	60103	60306	+	-	-	AcetOrient_RS00225	WP_048841620.1	67	50S ribosomal protein L35
chr	NZ_AP018515.1	60321	60680	+	-	-	AcetOrient_RS00230	WP_048841621.1	119	50S ribosomal protein L20
chr	NZ_AP018515.1	60881	61957	+	-	-	AcetOrient_RS00235	WP_126621014.1	358	phenylalanine--tRNA ligase subunit alpha
chr	NZ_AP018515.1	61954	64413	+	-	-	AcetOrient_RS00240	WP_048841623.1	819	phenylalanine--tRNA ligase subunit beta
chr	NZ_AP018515.1	64464	65516	+	-	pstS	AcetOrient_RS00245	WP_084594476.1	350	phosphate ABC transporter substrate-binding protein PstS
chr	NZ_AP018515.1	65930	67600	-	-	-	AcetOrient_RS00250	WP_048841813.1	556	Na+/H+ antiporter, partial
chr	NZ_AP018515.1	67859	69616	-	-	-	AcetOrient_RS00255	WP_084594477.1	585	ABC transporter substrate-binding protein
chr	NZ_AP018515.1	69878	71272	-	-	fumC	AcetOrient_RS00260	WP_126621015.1	464	class II fumarate hydratase
chr	NZ_AP018515.1	71674	74334	+	-	-	AcetOrient_RS00265	WP_048841626.1	886	cyclic nucleotide-binding domain-containing protein
chr	NZ_AP018515.1	74615	75166	-	-	-	AcetOrient_RS00270	WP_048841627.1	183	hdeD
chr	NZ_AP018515.1	75487	76104	+	-	-	AcetOrient_RS00275	WP_048841628.1	205	30S ribosomal protein S4
chr	NZ_AP018515.1	76213	77760	+	-	-	AcetOrient_RS00280	WP_048841629.1	515	peptide chain release factor 3
chr	NZ_AP018515.1	78217	79428	-	-	-	AcetOrient_RS00285	WP_048841631.1	403	DUF1501 domain-containing protein
chr	NZ_AP018515.1	79432	80745	-	-	-	AcetOrient_RS00290	WP_084594478.1	437	DUF1800 domain-containing protein
chr	NZ_AP018515.1	80895	82112	-	-	-	AcetOrient_RS00295	WP_084594479.1	405	MFS transporter
chr	NZ_AP018515.1	83156	84187	-	-	-	AcetOrient_RS00305	WP_048841632.1	343	isocitrate dehydrogenase
chr	NZ_AP018515.1	84282	86066	-	-	-	AcetOrient_RS00310	WP_048841633.1	594	aminopeptidase P family protein
chr	NZ_AP018515.1	86200	87114	-	-	-	AcetOrient_RS00315	WP_048841634.1	304	50S ribosomal protein L11 methyltransferase
chr	NZ_AP018515.1	87121	89346	-	-	-	AcetOrient_RS00320	WP_048841635.1	741	DNA helicase II
chr	NZ_AP018515.1	89641	90387	+	-	-	AcetOrient_RS00325	WP_126621016.1	248	DNA repair protein RadC
chr	NZ_AP018515.1	90384	91166	+	-	radC	AcetOrient_RS00330	WP_052946416.1	260	DNA repair protein RadC
chr	NZ_AP018515.1	91227	92387	-	-	-	AcetOrient_RS00335	WP_048841638.1	386	5-(carboxyamino)imidazole ribonucleotide synthase
chr	NZ_AP018515.1	92384	92923	-	-	purE	AcetOrient_RS00340	WP_084594480.1	179	5-(carboxyamino)imidazole ribonucleotide mutase
chr	NZ_AP018515.1	92957	93163	-	-	-	AcetOrient_RS00345	WP_048841639.1	68	DUF465 domain-containing protein
chr	NZ_AP018515.1	93390	93554	+	-	-	AcetOrient_RS00350	WP_084594481.1	54	DUF465 domain-containing protein
chr	NZ_AP018515.1	93673	94275	-	-	-	AcetOrient_RS00355	WP_048841640.1	200	DUF1013 domain-containing protein
chr	NZ_AP018515.1	94493	95002	-	-	-	AcetOrient_RS00360	WP_048841641.1	169	Hsp20 family protein
chr	NZ_AP018515.1	95197	95424	-	-	-	AcetOrient_RS00365	WP_048841642.1	75	50S ribosomal protein L31
chr	NZ_AP018515.1	95704	96162	+	-	mscL	AcetOrient_RS00370	WP_048841643.1	152	large conductance mechanosensitive channel protein MscL
chr	NZ_AP018515.1	96234	96614	+	-	-	AcetOrient_RS00375	WP_048841644.1	126	hypothetical protein
chr	NZ_AP018515.1	97050	97985	-	-	secF	AcetOrient_RS00380	WP_048841645.1	311	protein translocase subunit SecF
chr	NZ_AP018515.1	99872	100852	+	-	-	AcetOrient_RS00390	WP_048841647.1	326	Gfo/Idh/MocA family oxidoreductase
chr	NZ_AP018515.1	103054	104070	+	-	-	AcetOrient_RS00400	WP_048841649.1	338	ribonucleotide-diphosphate reductase subunit beta
chr	NZ_AP018515.1	104534	105337	-	-	-	AcetOrient_RS00405	WP_048841650.1	267	SAM-dependent methyltransferase
chr	NZ_AP018515.1	105453	106523	+	-	-	AcetOrient_RS00410	WP_048841651.1	356	polyprenyl synthetase family protein
chr	NZ_AP018515.1	107781	108533	-	-	-	AcetOrient_RS00425	WP_048841654.1	250	orotate phosphoribosyltransferase
chr	NZ_AP018515.1	108808	109047	+	-	-	AcetOrient_RS00430	WP_048841655.1	79	hypothetical protein
chr	NZ_AP018515.1	109136	109534	+	-	-	AcetOrient_RS00435	WP_126621017.1	132	hypothetical protein
chr	NZ_AP018515.1	109608	110918	-	-	gltA	AcetOrient_RS00440	WP_048841657.1	436	citrate (Si)-synthase
chr	NZ_AP018515.1	111070	111597	-	-	-	AcetOrient_RS00445	WP_048841658.1	175	phosphohistidine phosphatase
chr	NZ_AP018515.1	111594	111911	-	-	-	AcetOrient_RS00450	WP_048841659.1	105	chorismate mutase
chr	NZ_AP018515.1	111980	112714	-	-	-	AcetOrient_RS00455	WP_048841819.1	244	phosphatase
chr	NZ_AP018515.1	113002	114519	+	-	-	AcetOrient_RS00460	WP_048841660.1	505	succinate CoA transferase
chr	NZ_AP018515.1	114677	115435	-	-	-	AcetOrient_RS00465	WP_048841661.1	252	hypothetical protein
chr	NZ_AP018515.1	115422	119972	-	-	-	AcetOrient_RS00470	WP_048841662.1	1516	chromosome segregation protein SMC
chr	NZ_AP018515.1	120012	120644	-	-	-	AcetOrient_RS00475	WP_048841663.1	210	thiol:disulfide interchange protein
