#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
I	NZ_LN609302.1	963	1892	+	-	-	AGA_RS00005	WP_059022468.1	309	LysR family transcriptional regulator
I	NZ_LN609302.1	1954	2946	-	-	-	AGA_RS00010	WP_059022469.1	330	aldo/keto reductase
I	NZ_LN609302.1	3004	4257	-	-	-	AGA_RS00015	WP_083503481.1	417	MFS transporter
I	NZ_LN609302.1	4260	6488	-	-	-	AGA_RS00020	WP_083503645.1	742	TonB-dependent receptor
I	NZ_LN609302.1	6875	7831	+	-	-	AGA_RS00025	WP_059022471.1	318	TauD/TfdA family dioxygenase
I	NZ_LN609302.1	7872	10025	-	-	-	AGA_RS00030	WP_059022472.1	717	EAL domain-containing protein
I	NZ_LN609302.1	10302	10781	-	-	-	AGA_RS00035	WP_059022473.1	159	hypothetical protein
I	NZ_LN609302.1	11305	11748	-	-	-	AGA_RS00040	WP_059022474.1	147	hypothetical protein
I	NZ_LN609302.1	11748	12695	-	-	-	AGA_RS00045	WP_059022475.1	315	hypothetical protein
I	NZ_LN609302.1	12695	13270	-	-	-	AGA_RS00050	WP_059022476.1	191	DUF2612 domain-containing protein
I	NZ_LN609302.1	13270	14505	-	-	-	AGA_RS00055	WP_059022477.1	411	hypothetical protein
I	NZ_LN609302.1	14483	14836	-	-	-	AGA_RS00060	WP_059022478.1	117	hypothetical protein
I	NZ_LN609302.1	14916	15467	-	-	-	AGA_RS00065	WP_083503646.1	183	baseplate assembly protein
I	NZ_LN609302.1	15547	16479	-	-	-	AGA_RS00070	WP_059022480.1	310	hypothetical protein
I	NZ_LN609302.1	16472	16774	-	-	-	AGA_RS00075	WP_059022481.1	100	hypothetical protein
I	NZ_LN609302.1	16774	17487	-	-	-	AGA_RS00080	WP_059022482.1	237	hypothetical protein
I	NZ_LN609302.1	17636	18391	-	-	-	AGA_RS00085	WP_059022483.1	251	DNA/RNA non-specific endonuclease
I	NZ_LN609302.1	18469	19488	-	-	-	AGA_RS00090	WP_059022484.1	339	hypothetical protein
I	NZ_LN609302.1	20090	20524	-	-	-	AGA_RS00105	WP_059022487.1	144	hypothetical protein
I	NZ_LN609302.1	20527	21690	-	-	-	AGA_RS00110	WP_059022488.1	387	DUF3383 family protein
